Time_UTC,Host_Name,EID,UID,Source_IP,Dest_IP,Dest_Port,Message,Event_Type
2025-10-20 00:01:27,EDR,3392,user_a,192.168.1.6,1.1.1.1,80,"Inbound email flagged as spear phishing, potentially delivering Clop.",Email_Blocked
2025-10-20 00:01:00,EDR,4265,guest_ext,203.0.113.5,1.1.1.1,443,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:00:31,EDR,7645,user_a,192.168.1.6,203.0.113.2,22,User guest_ext authenticated successfully via service 8983.,Auth_Fail
2025-10-20 00:00:32,Firewall,1228,admin_corp,192.168.1.2,203.0.113.4,21,User svc_account authenticated successfully via service 8266.,Network_Conn
2025-10-20 00:01:06,SIEM,3105,guest_ext,192.168.1.4,192.168.1.3,443,User user_a authenticated successfully via service 8246.,Network_Conn
2025-10-20 00:00:34,Proxy,6537,svc_account,203.0.113.2,192.168.1.7,3389,User admin_corp authenticated successfully via service 8631.,Auth_Fail
2025-10-20 00:00:35,EDR,9429,user_a,192.168.1.4,203.0.113.3,22,"Inbound email flagged as spear phishing, potentially delivering Clop.",Email_Blocked
2025-10-20 00:01:12,Proxy,5066,guest_ext,192.168.1.8,192.168.1.9,22,User guest_ext authenticated successfully via service 8202.,Network_Conn
2025-10-20 00:01:14,Proxy,8477,guest_ext,192.168.1.10,203.0.113.1,3389,Suspicious activity: Lazarus Group executed TrickBot malware. File hash is c5d98ee248165023.,File_Write
2025-10-20 00:01:16,Proxy,4499,guest_ext,203.0.113.5,192.168.1.4,3389,User svc_account authenticated successfully via service 8337.,Auth_Fail
2025-10-20 00:01:57,EDR,7120,svc_account,192.168.1.5,1.1.1.1,80,Suspicious activity: Lazarus Group executed TrickBot malware. File hash is e400f827666195ab.,File_Write
2025-10-20 00:02:00,EDR,4007,guest_ext,203.0.113.5,192.168.1.10,22,User user_a authenticated successfully via service 8594.,Auth_Fail
2025-10-20 00:01:22,Proxy,7827,admin_corp,203.0.113.5,203.0.113.3,22,Suspicious activity: APT29 executed QakBot malware. File hash is ebbf3094c7481598.,File_Write
2025-10-20 00:02:06,EDR,1897,admin_corp,203.0.113.2,203.0.113.2,22,User svc_account authenticated successfully via service 8031.,Auth_Fail
2025-10-20 00:01:26,EDR,7894,user_a,192.168.1.6,192.168.1.6,80,Suspicious activity: Mustang Panda executed Clop malware. File hash is f1f216e4cf88ec9b.,File_Write
2025-10-20 00:01:28,Proxy,7755,svc_account,203.0.113.3,192.168.1.2,22,"Inbound email flagged as spear phishing, potentially delivering Emotet.",Email_Blocked
2025-10-20 00:01:30,EDR,6972,svc_account,192.168.1.3,192.168.1.1,22,User admin_corp authenticated successfully via service 8284.,Network_Conn
2025-10-20 00:03:50,SIEM,1283,guest_ext,203.0.113.5,1.1.1.1,3389,"Inbound email flagged as spear phishing, potentially delivering Emotet.",Email_Blocked
2025-10-20 00:00:47,EDR,8455,guest_ext,203.0.113.1,192.168.1.6,22,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",Email_Blocked
2025-10-20 00:04:00,EDR,8719,svc_account,192.168.1.10,203.0.113.1,22,Suspicious activity: WIZARD SPIDER executed QakBot malware. File hash is 4ca20abc3dcc15bb.,File_Write
2025-10-20 00:04:05,Proxy,2935,guest_ext,192.168.1.6,192.168.1.8,3389,Suspicious activity: Lazarus Group executed QakBot malware. File hash is d4a6eec815f6b864.,File_Write
2025-10-20 00:01:40,Firewall,2521,admin_corp,203.0.113.3,192.168.1.5,3389,Suspicious activity: Lazarus Group executed Clop malware. File hash is adc107e2283fd33d.,File_Write
2025-10-20 00:01:42,Proxy,7053,guest_ext,192.168.1.8,192.168.1.9,22,Suspicious activity: Lazarus Group executed LockBit malware. File hash is dd983c8afcc628ef.,File_Write
2025-10-20 00:00:52,EDR,3697,svc_account,192.168.1.1,203.0.113.5,443,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by Lazarus Group source.,Vulnerability_Scan
2025-10-20 00:00:53,EDR,8666,admin_corp,192.168.1.5,1.1.1.1,80,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by Lazarus Group source.,Vulnerability_Scan
2025-10-20 00:00:54,Proxy,6108,guest_ext,203.0.113.2,192.168.1.1,21,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:03:40,Firewall,8773,user_a,192.168.1.9,203.0.113.3,21,"Inbound email flagged as spear phishing, potentially delivering Emotet.",Email_Blocked
2025-10-20 00:00:56,Proxy,7458,user_a,192.168.1.4,203.0.113.1,80,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:00:57,SIEM,5081,svc_account,192.168.1.7,192.168.1.7,443,Suspicious activity: APT29 executed Clop malware. File hash is b7c6f63298003da2.,File_Write
2025-10-20 00:01:56,Proxy,6206,user_a,203.0.113.1,192.168.1.2,443,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by Mustang Panda source.,Vulnerability_Scan
2025-10-20 00:01:58,SIEM,8994,admin_corp,192.168.1.6,192.168.1.2,3389,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by Lazarus Group source.,Vulnerability_Scan
2025-10-20 00:02:00,Proxy,4328,user_a,192.168.1.5,192.168.1.6,21,Suspicious activity: APT29 executed TrickBot malware. File hash is 1e826c514d4159a4.,File_Write
2025-10-20 00:03:03,Proxy,2776,admin_corp,192.168.1.3,192.168.1.5,80,User admin_corp authenticated successfully via service 8643.,Auth_Fail
2025-10-20 00:05:10,EDR,1035,user_a,192.168.1.3,192.168.1.2,80,User svc_account authenticated successfully via service 8157.,Auth_Fail
2025-10-20 00:01:03,Firewall,7679,admin_corp,203.0.113.5,192.168.1.9,22,Suspicious activity: APT29 executed Emotet malware. File hash is 3d9f473b1648306b.,File_Write
2025-10-20 00:05:20,SIEM,8515,admin_corp,192.168.1.5,203.0.113.1,21,"Inbound email flagged as spear phishing, potentially delivering QakBot.",Email_Blocked
2025-10-20 00:03:15,SIEM,7113,admin_corp,203.0.113.1,192.168.1.5,443,Suspicious activity: Lazarus Group executed LockBit malware. File hash is 2b3d682a8d5f9d63.,File_Write
2025-10-20 00:02:12,EDR,6778,user_a,192.168.1.3,192.168.1.9,21,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",Email_Blocked
2025-10-20 00:04:28,Proxy,3370,guest_ext,192.168.1.4,192.168.1.5,80,Suspicious activity: FIN7 executed QakBot malware. File hash is 525979d1ec6db3ab.,File_Write
2025-10-20 00:02:16,EDR,9314,guest_ext,203.0.113.2,192.168.1.4,21,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by APT29 source.,Vulnerability_Scan
2025-10-20 00:01:09,EDR,4180,guest_ext,192.168.1.3,192.168.1.1,443,User user_a authenticated successfully via service 8978.,Auth_Fail
2025-10-20 00:01:10,Proxy,7837,svc_account,203.0.113.1,192.168.1.7,3389,Suspicious activity: FIN7 executed Emotet malware. File hash is d9d1cc53aff332a1.,File_Write
2025-10-20 00:05:55,EDR,5783,guest_ext,192.168.1.7,192.168.1.6,22,Suspicious activity: Mustang Panda executed LockBit malware. File hash is cbc861da7f4bc421.,File_Write
2025-10-20 00:03:36,SIEM,3411,user_a,192.168.1.6,1.1.1.1,443,User user_a authenticated successfully via service 8332.,Auth_Fail
2025-10-20 00:06:05,Proxy,8259,svc_account,192.168.1.3,1.1.1.1,22,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by Lazarus Group source.,Vulnerability_Scan
2025-10-20 00:04:56,Firewall,9026,guest_ext,192.168.1.10,203.0.113.4,443,User user_a authenticated successfully via service 8706.,Auth_Fail
2025-10-20 00:01:15,Proxy,9124,user_a,192.168.1.5,192.168.1.5,21,Suspicious activity: APT29 executed TrickBot malware. File hash is da08f94f134c3e1e.,File_Write
2025-10-20 00:05:04,Firewall,5180,user_a,192.168.1.4,192.168.1.6,21,Suspicious activity: Lazarus Group executed Emotet malware. File hash is 22c909542259e6de.,File_Write
2025-10-20 00:05:08,Proxy,5133,svc_account,192.168.1.1,1.1.1.1,3389,User user_a authenticated successfully via service 8639.,Network_Conn
2025-10-20 00:02:36,EDR,2300,svc_account,192.168.1.8,192.168.1.8,22,Suspicious activity: APT29 executed Emotet malware. File hash is 702713f4471bdfea.,File_Write
2025-10-20 00:02:38,Firewall,3411,svc_account,192.168.1.4,192.168.1.7,80,User user_a authenticated successfully via service 8696.,Network_Conn
2025-10-20 00:01:20,Firewall,1766,user_a,192.168.1.3,192.168.1.5,3389,Suspicious activity: FIN7 executed LockBit malware. File hash is 6b2d494d2fbe1532.,File_Write
2025-10-20 00:06:45,Proxy,2355,svc_account,203.0.113.3,192.168.1.6,443,Suspicious activity: APT29 executed QakBot malware. File hash is 8d42be7d7eee9af1.,File_Write
2025-10-20 00:01:22,Firewall,6945,guest_ext,203.0.113.3,203.0.113.1,80,User guest_ext authenticated successfully via service 8012.,Network_Conn
2025-10-20 00:01:23,SIEM,1353,admin_corp,203.0.113.4,192.168.1.4,80,"Inbound email flagged as spear phishing, potentially delivering LockBit.",Email_Blocked
2025-10-20 00:05:36,EDR,8884,user_a,192.168.1.2,192.168.1.5,22,Suspicious activity: APT29 executed LockBit malware. File hash is b61db0030aa35312.,File_Write
2025-10-20 00:02:50,Proxy,3288,admin_corp,192.168.1.8,1.1.1.1,22,User guest_ext authenticated successfully via service 8191.,Auth_Fail
2025-10-20 00:07:10,Proxy,7403,svc_account,192.168.1.5,192.168.1.3,80,User guest_ext authenticated successfully via service 8226.,Auth_Fail
2025-10-20 00:02:54,Firewall,8505,guest_ext,203.0.113.4,192.168.1.2,443,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by APT29 source.,Vulnerability_Scan
2025-10-20 00:07:20,SIEM,6358,svc_account,203.0.113.1,192.168.1.2,22,Suspicious activity: APT29 executed Clop malware. File hash is 031527b27bf8541f.,File_Write
2025-10-20 00:01:29,Firewall,9330,svc_account,203.0.113.3,203.0.113.5,443,Suspicious activity: WIZARD SPIDER executed TrickBot malware. File hash is b273c42af837b667.,File_Write
2025-10-20 00:01:30,Proxy,6937,guest_ext,192.168.1.4,203.0.113.2,21,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by Lazarus Group source.,Vulnerability_Scan
2025-10-20 00:06:04,Proxy,8605,guest_ext,192.168.1.2,192.168.1.4,21,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by FIN7 source.,Vulnerability_Scan
2025-10-20 00:03:04,EDR,7218,admin_corp,192.168.1.5,203.0.113.2,21,User user_a authenticated successfully via service 8594.,Network_Conn
2025-10-20 00:01:33,EDR,3001,admin_corp,192.168.1.4,203.0.113.2,80,User svc_account authenticated successfully via service 8388.,Network_Conn
2025-10-20 00:03:08,EDR,3319,guest_ext,192.168.1.9,203.0.113.4,22,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by Lazarus Group source.,Vulnerability_Scan
2025-10-20 00:04:45,Firewall,7286,guest_ext,192.168.1.8,192.168.1.4,3389,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by FIN7 source.,Vulnerability_Scan
2025-10-20 00:06:24,Firewall,2710,admin_corp,192.168.1.8,203.0.113.3,22,User user_a authenticated successfully via service 8643.,Network_Conn
2025-10-20 00:08:05,EDR,6419,admin_corp,192.168.1.10,203.0.113.5,3389,User admin_corp authenticated successfully via service 8787.,Network_Conn
2025-10-20 00:04:54,Proxy,2569,user_a,203.0.113.3,192.168.1.10,22,Suspicious activity: Lazarus Group executed Emotet malware. File hash is e3e83ae6204f8c9c.,File_Write
2025-10-20 00:03:18,EDR,4204,svc_account,203.0.113.2,192.168.1.5,21,User svc_account authenticated successfully via service 8404.,Network_Conn
2025-10-20 00:03:20,Firewall,5450,guest_ext,192.168.1.4,192.168.1.1,21,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by Lazarus Group source.,Vulnerability_Scan
2025-10-20 00:03:22,Proxy,6001,svc_account,192.168.1.8,203.0.113.2,21,User guest_ext authenticated successfully via service 8889.,Network_Conn
2025-10-20 00:06:48,Proxy,5597,svc_account,192.168.1.4,203.0.113.2,22,User svc_account authenticated successfully via service 8932.,Auth_Fail
2025-10-20 00:01:43,Proxy,7683,svc_account,192.168.1.4,203.0.113.5,22,Suspicious activity: Lazarus Group executed Emotet malware. File hash is 59d464a57af5e0c9.,File_Write
2025-10-20 00:08:40,SIEM,8914,admin_corp,192.168.1.7,1.1.1.1,80,User user_a authenticated successfully via service 8918.,Auth_Fail
2025-10-20 00:07:00,Firewall,8736,guest_ext,203.0.113.1,203.0.113.4,22,"Inbound email flagged as spear phishing, potentially delivering Emotet.",Email_Blocked
2025-10-20 00:08:50,Firewall,9017,admin_corp,192.168.1.2,203.0.113.5,443,User svc_account authenticated successfully via service 8631.,Auth_Fail
2025-10-20 00:05:21,Firewall,6459,admin_corp,203.0.113.1,1.1.1.1,443,User admin_corp authenticated successfully via service 8353.,Auth_Fail
2025-10-20 00:03:36,SIEM,4668,guest_ext,203.0.113.3,192.168.1.1,21,User admin_corp authenticated successfully via service 8312.,Network_Conn
2025-10-20 00:01:49,SIEM,3450,user_a,192.168.1.5,192.168.1.10,80,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by Lazarus Group source.,Vulnerability_Scan
2025-10-20 00:01:50,SIEM,6427,admin_corp,203.0.113.3,192.168.1.8,22,User admin_corp authenticated successfully via service 8466.,Network_Conn
2025-10-20 00:05:33,Firewall,9064,guest_ext,192.168.1.10,192.168.1.8,22,User svc_account authenticated successfully via service 8257.,Auth_Fail
2025-10-20 00:09:20,SIEM,9606,svc_account,192.168.1.2,203.0.113.2,22,Suspicious activity: WIZARD SPIDER executed LockBit malware. File hash is 0386e0a2dcf819db.,File_Write
2025-10-20 00:03:46,Proxy,3731,admin_corp,192.168.1.6,192.168.1.2,80,User user_a authenticated successfully via service 8346.,Network_Conn
2025-10-20 00:05:42,EDR,8708,svc_account,192.168.1.7,192.168.1.8,80,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by Lazarus Group source.,Vulnerability_Scan
2025-10-20 00:09:35,SIEM,3669,user_a,203.0.113.3,192.168.1.10,22,User svc_account authenticated successfully via service 8497.,Auth_Fail
2025-10-20 00:07:44,Proxy,1527,guest_ext,192.168.1.1,203.0.113.2,22,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by FIN7 source.,Vulnerability_Scan
2025-10-20 00:01:57,SIEM,5140,admin_corp,192.168.1.7,1.1.1.1,21,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by Mustang Panda source.,Vulnerability_Scan
2025-10-20 00:01:58,Firewall,4281,admin_corp,192.168.1.3,192.168.1.5,21,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by FIN7 source.,Vulnerability_Scan
2025-10-20 00:09:55,SIEM,9273,guest_ext,192.168.1.2,1.1.1.1,22,"Inbound email flagged as spear phishing, potentially delivering QakBot.",Email_Blocked
2025-10-20 00:08:00,Firewall,1370,guest_ext,192.168.1.10,203.0.113.3,80,"Inbound email flagged as spear phishing, potentially delivering Emotet.",Email_Blocked
2025-10-20 00:04:02,Firewall,3282,guest_ext,203.0.113.5,203.0.113.1,443,Suspicious activity: APT29 executed Clop malware. File hash is 14c9ec1aa6dbd638.,File_Write
2025-10-20 00:02:02,SIEM,6404,svc_account,192.168.1.6,203.0.113.1,80,Network scan detected. Vulnerability check for CVE-2025-0101 initiated by Mustang Panda source.,Vulnerability_Scan
2025-10-20 00:06:09,Firewall,1453,svc_account,192.168.1.5,192.168.1.5,3389,User svc_account authenticated successfully via service 8299.,Network_Conn
2025-10-20 00:08:16,EDR,9532,svc_account,203.0.113.1,192.168.1.1,443,"Inbound email flagged as spear phishing, potentially delivering LockBit.",Email_Blocked
2025-10-20 00:06:15,Proxy,2384,svc_account,203.0.113.1,203.0.113.3,22,User admin_corp authenticated successfully via service 8690.,Auth_Fail
2025-10-20 00:02:06,Firewall,4990,guest_ext,203.0.113.4,192.168.1.5,22,User admin_corp authenticated successfully via service 8873.,Auth_Fail
2025-10-20 00:04:14,SIEM,6210,svc_account,192.168.1.2,1.1.1.1,443,User svc_account authenticated successfully via service 8560.,Network_Conn
2025-10-20 00:08:32,Firewall,7544,svc_account,192.168.1.5,1.1.1.1,80,User admin_corp authenticated successfully via service 8694.,Network_Conn
2025-10-20 00:02:09,SIEM,5649,svc_account,192.168.1.2,203.0.113.3,3389,User admin_corp authenticated successfully via service 8913.,Network_Conn
2025-10-20 00:08:40,EDR,7835,svc_account,192.168.1.5,192.168.1.10,22,User guest_ext authenticated successfully via service 8814.,Auth_Fail
2025-10-20 00:06:33,EDR,8080,admin_corp,203.0.113.2,192.168.1.9,3389,User svc_account authenticated successfully via service 8246.,Network_Conn
2025-10-20 00:02:12,EDR,7536,guest_ext,192.168.1.7,192.168.1.10,443,Suspicious activity: Mustang Panda executed LockBit malware. File hash is 5eef0ae8b1da88bd.,File_Write
2025-10-20 00:08:52,Firewall,3145,user_a,192.168.1.2,203.0.113.2,443,"Inbound email flagged as spear phishing, potentially delivering Clop.",Email_Blocked
2025-10-20 00:02:14,Firewall,3448,admin_corp,203.0.113.1,203.0.113.2,21,User guest_ext authenticated successfully via service 8158.,Auth_Fail
2025-10-20 00:04:30,Proxy,5086,admin_corp,203.0.113.1,192.168.1.1,3389,User guest_ext authenticated successfully via service 8245.,Network_Conn
2025-10-20 00:09:04,SIEM,7406,user_a,192.168.1.8,192.168.1.7,3389,User admin_corp authenticated successfully via service 8618.,Auth_Fail
2025-10-20 00:02:17,SIEM,9314,user_a,203.0.113.2,192.168.1.9,80,Suspicious activity: FIN7 executed Emotet malware. File hash is 3b0d6bfb5aa9209a.,File_Write
2025-10-20 00:11:30,SIEM,1843,guest_ext,203.0.113.4,192.168.1.9,80,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by APT29 source.,Vulnerability_Scan
2025-10-20 00:11:35,Firewall,6168,user_a,203.0.113.3,192.168.1.4,80,User guest_ext authenticated successfully via service 8827.,Network_Conn
2025-10-20 00:02:20,Proxy,8295,user_a,192.168.1.5,192.168.1.4,443,User svc_account authenticated successfully via service 8204.,Network_Conn
2025-10-20 00:09:24,SIEM,1210,admin_corp,203.0.113.5,192.168.1.6,21,User svc_account authenticated successfully via service 8600.,Auth_Fail
2025-10-20 00:07:06,Proxy,4273,guest_ext,203.0.113.3,192.168.1.7,3389,"Inbound email flagged as spear phishing, potentially delivering QakBot.",Email_Blocked
2025-10-20 00:04:46,SIEM,6447,svc_account,203.0.113.4,192.168.1.3,22,User user_a authenticated successfully via service 8275.,Auth_Fail
2025-10-20 00:09:36,Proxy,6656,admin_corp,192.168.1.8,203.0.113.3,22,User svc_account authenticated successfully via service 8998.,Auth_Fail
2025-10-20 00:07:15,EDR,9698,admin_corp,203.0.113.1,1.1.1.1,443,User user_a authenticated successfully via service 8346.,Network_Conn
2025-10-20 00:02:26,Firewall,7734,guest_ext,192.168.1.7,192.168.1.5,3389,Suspicious activity: Mustang Panda executed Clop malware. File hash is 4ab32bfc3f0a5190.,File_Write
2025-10-20 00:12:15,Proxy,8017,admin_corp,192.168.1.7,203.0.113.4,3389,"Inbound email flagged as spear phishing, potentially delivering TrickBot.",Email_Blocked
2025-10-20 00:02:28,Proxy,6536,user_a,203.0.113.1,203.0.113.1,80,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by Mustang Panda source.,Vulnerability_Scan
2025-10-20 00:07:27,Firewall,3281,svc_account,192.168.1.4,192.168.1.6,443,User svc_account authenticated successfully via service 8380.,Auth_Fail
2025-10-20 00:12:30,EDR,5777,svc_account,192.168.1.7,192.168.1.2,443,User admin_corp authenticated successfully via service 8498.,Auth_Fail
2025-10-20 00:07:33,Proxy,1993,admin_corp,192.168.1.1,203.0.113.3,21,Suspicious activity: WIZARD SPIDER executed Emotet malware. File hash is 5221e45bd8eaeb67.,File_Write
2025-10-20 00:07:36,Firewall,5492,guest_ext,192.168.1.9,192.168.1.2,3389,Network scan detected. Vulnerability check for CVE-2023-3456 initiated by APT29 source.,Vulnerability_Scan
2025-10-20 00:02:33,EDR,3234,admin_corp,192.168.1.7,192.168.1.3,3389,User svc_account authenticated successfully via service 8257.,Network_Conn
2025-10-20 00:05:08,SIEM,4790,guest_ext,203.0.113.5,192.168.1.5,443,Suspicious activity: WIZARD SPIDER executed QakBot malware. File hash is 6ced7faf2d3184f1.,File_Write
2025-10-20 00:02:35,Proxy,7216,guest_ext,192.168.1.5,192.168.1.8,3389,User guest_ext authenticated successfully via service 8990.,Network_Conn
2025-10-20 00:10:24,SIEM,7672,user_a,203.0.113.5,203.0.113.3,21,Suspicious activity: WIZARD SPIDER executed TrickBot malware. File hash is 984da17d3a236cbd.,File_Write
2025-10-20 00:05:14,Proxy,2125,svc_account,192.168.1.4,203.0.113.2,3389,Network scan detected. Vulnerability check for CVE-2024-4228 initiated by FIN7 source.,Vulnerability_Scan
2025-10-20 00:07:54,Proxy,5314,svc_account,203.0.113.5,192.168.1.4,22,User guest_ext authenticated successfully via service 8699.,Auth_Fail
2025-10-20 00:05:18,SIEM,7735,guest_ext,192.168.1.4,192.168.1.6,80,User guest_ext authenticated successfully via service 8068.,Auth_Fail
2025-10-20 00:05:20,Firewall,9691,user_a,203.0.113.3,192.168.1.6,21,Suspicious activity: Mustang Panda executed Clop malware. File hash is d6cb00f870801c08.,File_Write
2025-10-20 00:05:22,Proxy,7464,svc_account,203.0.113.5,192.168.1.8,22,"Inbound email flagged as spear phishing, potentially delivering Emotet.",Email_Blocked
2025-10-20 00:08:06,Proxy,2551,svc_account,192.168.1.2,192.168.1.7,21,User guest_ext authenticated successfully via service 8894.,Auth_Fail
2025-10-20 00:10:52,EDR,2425,svc_account,192.168.1.5,1.1.1.1,22,Suspicious activity: Lazarus Group executed Emotet malware. File hash is 6afd1157d36303cc.,File_Write
2025-10-20 00:10:56,Firewall,6473,admin_corp,192.168.1.1,192.168.1.2,22,User guest_ext authenticated successfully via service 8571.,Network_Conn
2025-10-20 00:08:15,SIEM,6335,guest_ext,192.168.1.1,192.168.1.8,80,User svc_account authenticated successfully via service 8586.,Network_Conn
2025-10-20 00:02:46,Firewall,4059,guest_ext,192.168.1.10,203.0.113.3,3389,User svc_account authenticated successfully via service 8542.,Auth_Fail
2025-10-20 00:13:55,SIEM,3797,svc_account,192.168.1.8,203.0.113.4,3389,Network scan detected. Vulnerability check for CVE-2024-5005 initiated by WIZARD SPIDER source.,Vulnerability_Scan
2025-10-20 00:08:24,EDR,4398,user_a,192.168.1.1,192.168.1.10,3389,Suspicious activity: APT29 executed Emotet malware. File hash is 4ef2dc0043329dc6.,File_Write
2025-10-20 00:14:05,EDR,1657,admin_corp,203.0.113.3,192.168.1.8,80,"Inbound email flagged as spear phishing, potentially delivering Emotet.",Email_Blocked
